bookid;name;author;genre;lang;rating1;rating2;rating3;rating4;rating5
12749;One Writer's Beginnings;Eudora Welty;Autobiography;English;34;115;515;1048;1013
12914;Swann's Way (Ã€ la recherche du temps perdu #1);Marcel Proust;Classics;English;1077;1870;4956;9951;16778
12938;The Aeneid;Virgil;Fiction;English;1634;6822;25032;30875;26893
12957;King Lear;William Shakespeare;Classics;English;2924;10924;37912;50245;52729
12985;Much Ado About Nothing;William Shakespeare;Classics;English;2375;8108;38948;68876;74113
12996;The Tempest;William Shakespeare;Literature;English;2605;10760;40245;50477;41358
13001;Othello;William Shakespeare;Drama;English;4384;17084;67378;96275;82271
13006;Othello;William Shakespeare;Drama;English;4384;17084;67378;96278;82271
13023;Julius Caesar;William Shakespeare;Classics;English;3472;13561;43997;49478;32865
13037;Alice in Wonderland;Jane Carruth;Classics;English;7756;18622;72092;112837;142119
13039;Justine (Alexandria Quartet #1);Lawrence Durrell;Fiction;English;204;432;1061;1848;2079
13103;Clea (Alexandria Quartet #4);Lawrence Durrell;Fiction;English;12;69;302;675;873
13148;The Celestine Prophecy (Celestine Prophecy #1);James Redfield;Fiction;English;6261;8910;19023;22521;24041
13173;Kiss the Girls (Alex Cross #2);James Patterson;Mystery;English;10578;14723;59360;98789;103722
13214;A Little Prairie House (My First Little House Books);Laura Ingalls Wilder;Childrens;English;6;49;299;494;688
13465;I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1);Maya Angelou;Nonfiction;English;5605;10696;45229;103144;146377
13496;Think Big: Unleashing Your Potential for Excellence;Ben Carson;Nonfiction;English;73;113;425;856;1410
13497;A Game of Thrones (A Song of Ice and Fire #1);George R.R. Martin;Adult;English;22350;31578;123521;436609;962424
13528;A Feast for Crows (A Song of Ice and Fire #4);George R.R. Martin;Fantasy;English;3333;19372;98981;186485;204665
13642;Bulletproof Web Design: Improving flexibility and protecting against worst-case scenarios with XHTML and CSS;Dan Cederholm;Design;English;5;25;165;313;332
13847;A Wizard of Earthsea (Earthsea Cycle #1);Ursula K. Le Guin;Fiction;English;3388;9685;36994;62897;65549
14050;Essence and Alchemy: A Natural History of Perfume;Mandy Aftel;Nonfiction;English;10;15;103;177;193
14096;The Time Traveler's Wife;Audrey Niffenegger;Fiction;English;46116;88627;268881;447734;521489
14264;Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life;Jon Kabat-Zinn;Nonfiction;English;424;1033;4967;10340;11530
14286;World Light (HeimsljÃ³s #1);HalldÃ³r Kiljan Laxness;Fiction;English;8;23;95;217;230
14366;Open Secrets;Alice Munro;Short Stories;English;47;197;727;1691;1588
14497;Island of the Blue Dolphins (Island of the Blue Dolphins #1);Scott O'Dell;Young Adult;English;8353;19739;63785;83381;79495
14507;Neverwhere (London Below,  The World of Neverwhere);Neil Gaiman;Fantasy;English;3570;10665;51561;124334;141966
14546;Perfume: Joy, Scandal, Sin - A Cultural History of Fragrance from 1750 to the Present;Richard Stamelman;Nonfiction;English;0;3;4;10;9
14595;The Emperor of Scent: A True Story of Perfume and Obsession;Chandler Burr;Nonfiction;English;13;52;250;596;595
14662;Please Kill Me: The Uncensored Oral History of Punk;Legs McNeil;Music;English;617;927;3610;7589;10932
14684;The Red and the Black;Stendhal;Classics;English;1203;3215;10574;15616;14847
14865;The Charterhouse of Parma;Stendhal;Classics;English;362;951;2957;4104;3809
14891;Vanishing Acts;Jodi Picoult;Fiction;English;1267;6383;27959;32048;17521
14942;A Tree Grows in Brooklyn;Betty  Smith;Classics;English;3806;9919;45193;108189;155584
15017;Mrs. Dalloway;Virginia Woolf;Classics;English;6868;15101;41025;57764;53963
15047;Fierce Conversations: Achieving Success at Work and in Life One Conversation at a Time;Susan Scott;Self Help;English;51;145;670;1172;1077
15054;The Passion;Jeanette Winterson;Fiction;English;185;684;2758;5662;6506
15241;Written on the Body;Jeanette Winterson;Fiction;English;369;1082;3779;6957;8681
15613;The Two Towers (The Lord of the Rings #2);J.R.R. Tolkien;Fantasy;English;3105;10681;57802;164413;327512
15622;Billy Budd, Sailor;Herman Melville;Classics;English;1523;2348;4044;3181;1737
15769;Native Son;Richard Wright;Fiction;English;1856;4025;14495;27017;25766
15779;The Bourne Supremacy (Jason Bourne #2);Robert Ludlum;Fiction;English;1747;4896;28298;61076;59173
15782;Sideways Stories from Wayside School (Wayside School #1);Louis Sachar;Childrens;English;1330;3193;14685;25149;36737
15860;Sideways Arithmetic from Wayside School (Wayside School #2.5);Louis Sachar;Childrens;English;95;274;995;1103;1325
15931;State of Fear;Michael Crichton;Fiction;English;2701;6304;20157;25250;18573
15997;The Notebook (The Notebook #1);Nicholas Sparks;Fiction;English;42428;65219;181734;308004;515584
16121;Paradise Lost (Paradise #1);John Milton;Poetry;English;4193;9433;26222;34571;35626
16130;Titan: The Life of John D. Rockefeller, Sr.;Ron Chernow;Biography;English;196;347;1532;4006;4928
16172;Alexander Hamilton;Ron Chernow;History;English;1670;2085;8163;22022;33695
16286;Desert Queen: The Extraordinary Life of Gertrude Bell: Adventurer, Adviser to Kings, Ally of Lawrence of Arabia;Janet Wallach;History;English;48;180;623;1122;840
16304;The Magus;John Fowles;Fiction;English;1104;2344;6708;12791;16635
16393;Murder on the Orient Express (Hercule Poirot #10);Agatha Christie;Mystery;English;962;5467;41347;99647;93332
16631;Big Money;P.G. Wodehouse;Fiction;English;8;37;309;521;306
16640;Steppenwolf;Hermann Hesse;Philosophy;English;1508;4778;18254;36222;44535
16690;The Sorrows of Young Werther;Johann Wolfgang von Goethe;Unknown;English;2678;6252;16000;19182;15171
16809;The Moon is a Harsh Mistress;Robert A. Heinlein;Science Fiction;English;924;3066;15287;31904;39690
16981;Christopher and His Kind;Christopher Isherwood;Nonfiction;English;19;72;414;965;926
17125;Invisible Man;Ralph Ellison;Classics;English;4491;10424;30363;45531;43794
17150;One Day in the Life of Ivan Denisovich;Aleksandr Solzhenitsyn;Fiction;English;1205;3850;16985;29959;24401
17214;My Ãntonia (Great Plains Trilogy #3);Willa Cather;Historical;English;3777;8724;25778;37423;30201
17238;Starship Troopers;Robert A. Heinlein;Science Fiction;English;2220;7754;33595;57378;55462
17354;Dracula;Bram Stoker;Classics;English;13028;39137;161438;263514;264692
17372;A Brief History of Time;Stephen Hawking;Nonfiction;English;2792;6516;33045;77305;81248
17529;Unconventional Success: A Fundamental Approach to Personal Investment;David F. Swensen;Economics;English;10;47;197;274;283
17690;Rebecca of Sunnybrook Farm;Kate Douglas Wiggin;Classics;English;538;2008;8540;9898;9746
17716;The Trial;Franz Kafka;Classics;English;3881;10013;34273;63918;63529
17768;Waiting for Godot;Samuel Beckett;Plays;English;5157;10524;27755;40845;41401
17780;Post Captain (Aubrey & Maturin #2);Patrick O'Brian;Fiction;English;38;242;1862;5745;6693
18033;In the Heart of the Sea: The Tragedy of the Whaleship Essex;Nathaniel Philbrick;Nonfiction;English;881;1826;10094;26648;26708
18061;Heavy Weather (Blandings Castle #5);P.G. Wodehouse;Humor;English;7;30;337;941;981
18116;Uncle Fred in the Springtime (Blandings Castle #6);P.G. Wodehouse;Fiction;English;22;67;536;1351;1616
18122;His Dark Materials (His Dark Materials #1-3);Philip Pullman;Fantasy;English;1717;3855;13932;32706;54577
18131;The Amber Spyglass (His Dark Materials #3);Philip Pullman;Fantasy;English;4947;12464;41356;75475;98700
18135;A Wrinkle in Time (Time Quintet #1);Madeleine L'Engle;Fiction;English;20127;41315;140338;242674;306677
18254;Romeo and Juliet;William Shakespeare;Classics;English;61515;160880;475617;548287;519646
18271;Oliver Twist (Oliver Twist #1-5);Charles Dickens;Classics;English;5236;16428;69258;102622;77581
18342;Beyond Good and Evil;Friedrich Nietzsche;Philosophy;English;868;2224;9175;16764;16686
18373;It;Stephen King;Horror;English;10029;22161;85590;173944;278222
18405;Flowers for Algernon;Daniel Keyes;Fiction;English;4607;15892;69645;133456;145537
18423;Gone with the Wind;Margaret Mitchell;Classics;English;21025;34676;120963;245256;521115
18455;The Left Hand of Darkness (Hainish Cycle #6);Ursula K. Le Guin;Science Fiction;English;1303;3956;15006;30597;31346
18490;The Spy Who Loved Me (James Bond (Original Series) #10);Ian Fleming;Fiction;English;435;1232;2932;2529;1486
18512;Frankenstein;Mary Wollstonecraft Shelley;Science Fiction;English;30848;77339;242614;319315;267209
18646;The Return of the King (The Lord of the Rings #3);J.R.R. Tolkien;Fantasy;English;2772;8287;44423;138311;345055
18699;Galileo's Daughter: A Historical Memoir of Science, Faith and Love;Dava Sobel;History;English;711;1704;6428;8948;5977
18765;My Life;Bill Clinton;Biography;English;1558;2967;10752;13500;10474
18839;I, Claudius (Claudius #1);Robert Graves;Historical;English;457;1164;5716;15786;21581
18989;Orlando;Virginia Woolf;Classics;English;1125;3191;9954;14734;13742
19000;Tinker, Tailor, Soldier, Spy (The Karla Trilogy #1);John le CarrÃ©;Fiction;English;1027;2548;9543;20760;20297
19002;The Constant Gardener;John le CarrÃ©;Fiction;English;299;1167;4725;7372;4082
19089;Absolute Friends;John le CarrÃ©;Fiction;English;143;495;1682;1996;980
19117;Middlemarch;George Eliot;Classics;English;3888;7710;23515;36196;43651
19302;Fathers and Sons;Ivan Turgenev;Fiction;English;586;2713;12436;20761;16742
19307;Pippi Longstocking (Pippi LÃ¥ngstrump #1);Astrid Lindgren;Childrens;English;1885;5621;27031;44239;59904
19308;Pippi in the South Seas (Pippi LÃ¥ngstrump #3);Astrid Lindgren;Childrens;English;224;571;3175;4926;6698
19314;Pippi Goes on Board (Pippi LÃ¥ngstrump #2);Astrid Lindgren;Childrens;English;129;360;2220;3307;4534
19321;Ronia, the Robber's Daughter;Astrid Lindgren;Fantasy;English;152;494;2735;6418;9608
19330;The Tale of Peter Rabbit (The World of Beatrix Potter: Peter Rabbit);Beatrix Potter;Childrens;English;2657;6753;32076;51063;82768
19351;The Complete Tales;Beatrix Potter;Classics;English;531;1394;8030;15925;33968
19374;The Epic of Gilgamesh;Anonymous;Classics;English;1778;6554;20143;20710;16190
19380;Adventures of Huckleberry Finn (The Adventures of Tom and Huck #2);Mark Twain;Historical;English;29455;79028;264488;358102;310116
19392;Candide;Voltaire;Classics;English;5225;15224;48606;63855;50390
19400;Voltaire in Love;Nancy Mitford;Biography;English;4;26;93;119;62
19494;The Decline and Fall of the Roman Empire;Edward Gibbon;History;English;229;556;2244;3561;3693
19501;The Spy Who Came In from the Cold (George Smiley);John le CarrÃ©;Fiction;English;364;1867;9831;22103;18306
19543;Eat, Pray, Love;Elizabeth Gilbert;Nonfiction;English;103698;155115;324481;350497;335974
19596;Where the Wild Things Are;Maurice Sendak;Childrens;English;17114;29666;99801;177441;357517
19668;Color: A Natural History of the Palette;Victoria Finlay;Nonfiction;English;3991;4672;11762;13280;21523
19675;Without Remorse (Jack Ryan Universe #1);Tom Clancy;Fiction;English;598;1687;8854;18461;22748
19687;Executive Orders (Jack Ryan Universe #9);Tom Clancy;Fiction;English;408;1496;8205;15373;14508
19691;The Bear and the Dragon (Jack Ryan Universe #11);Tom Clancy;Fiction;English;440;1457;5699;8036;5785
19707;The Hunt for Red October (Jack Ryan Universe #4);Tom Clancy;Fiction;English;9579;13953;51266;99573;117098
19743;Red Rabbit (Jack Ryan Universe #3);Tom Clancy;Fiction;English;579;2010;6885;7669;4945
19764;Porsche 911: Perfection by Design;Randy Leffingwell;Unknown;English;1;0;2;7;15
19809;Corvette: Fifty Years;Randy Leffingwell;Unknown;English;1;2;1;5;9
20926;The Last Lion: Winston Spencer Churchill: Visions of Glory 1874-1932 (The Last Lion #1);William Manchester;Biography;English;139;166;775;2338;5248
21182;Muscle: America's Legendary Performance Cars;Randy Leffingwell;Unknown;English;0;0;3;3;4
21199;The Wisdom of Life;Arthur Schopenhauer;Philosophy;English;95;257;1238;2697;3621
21314;Every Night Italian: Every Night Italian;Giuliano Hazan;Food and Drink;English;2;4;14;28;14
21484;The Starfish and the Spider: The Unstoppable Power of Leaderless Organizations;Ori Brafman;Business;English;95;247;946;1371;1184
21704;The Winds of War (The Henry Family #1);Herman Wouk;Historical;English;260;785;5271;15021;24223
22034;The Black Dahlia (L.A. Quartet #1);James Ellroy;Mystery;English;2203;5341;18546;24781;18708
22149;The Godfather (Mario Puzo's Mafia);Mario Puzo;Fiction;English;2961;6134;30851;86967;154491
22320;Designing Web Usability;Jakob Nielsen;Design;English;21;71;268;418;257
22328;Pattern Recognition (Blue Ant #1);William Gibson;Science Fiction;English;592;2282;9847;15819;10780
22333;Neuromancer (Sprawl #1);William Gibson;Science Fiction;English;9617;15597;42609;69349;77159
22435;A Mass for the Dead;William  Gibson;Unknown;English;0;4;9;14;20
22463;The Fabric of the Cosmos: Space, Time, and the Texture of Reality;Brian Greene;Science;English;577;891;4601;11164;11339
23204;The Origin of Species;Charles Darwin;Nonfiction;English;2766;4609;16210;24578;31975
23341;Stern Men;Elizabeth Gilbert;Fiction;English;206;614;1548;1477;606
23422;Running with Scissors;Augusten Burroughs;Autobiography;English;13881;27850;80627;109343;84967
23425;The Art of Travel;Alain de Botton;Travel;English;428;1109;4033;6135;4509
23426;Status Anxiety;Alain de Botton;Philosophy;English;92;402;1925;3435;2227
23772;On Love;Alain de Botton;Philosophy;English;184;750;3128;5875;4803
23801;Green Eggs and Ham;Dr. Seuss;Childrens;English;7617;15876;70964;129379;272866
23856;Bargaining for Advantage: Negotiation Strategies for Reasonable People;G. Richard Shell;Business;English;106;234;963;1312;1515
23919;The Sisters: The Saga of the Mitford Family;Mary S. Lovell;Biography;English;237;415;1709;3547;2940
23982;The Complete Stories and Poems;Edgar Allan Poe;Classics;English;1317;3043;19608;51655;91209
24051;Modoc: The True Story of the Greatest Elephant That Ever Lived;Ralph Helfer;Nonfiction;English;161;393;1213;2388;4121
24054;I Want to Go Home!;Gordon Korman;Favorites;English;9;37;181;473;1161
24057;Losing Joe's Place;Gordon Korman;Fiction;English;8;41;166;272;293
24058;No Coins, Please;Gordon Korman;Fiction;English;7;28;149;282;469
24100;The Zucchini Warriors (Macdonald Hall #5);Gordon Korman;Fiction;English;4;44;287;419;401
24113;The Golden Notebook;Doris Lessing;Fiction;English;767;1553;3611;5312;5037
24128;GÃ¶del, Escher, Bach: An Eternal Golden Braid;Douglas R. Hofstadter;Science;English;702;1323;4265;9755;19541
24137;The Merchant of Venice;William Shakespeare;Plays;English;2057;9741;38952;49783;35992
24213;Catherine, Called Birdy;Karen Cushman;Historical;English;1068;2806;9887;11644;8563
24241;Alice's Adventures in Wonderland & Through the Looking-Glass (Alice's Adventures in Wonderland #1-2);Lewis Carroll;Classics;English;5572;18288;81036;135815;161333
24280;The Battle of Brooklyn 1776;John J. Gallagher;Military History;English;0;2;20;14;10
24283;Les MisÃ©rables;Victor Hugo;Classics;English;15743;26832;91288;177243;282021
24355;Les MisÃ©rables;Victor Hugo;Classics;English;15743;26832;91289;177245;282029
24583;Why Gender Matters: What Parents and Teachers Need to Know about the Emerging Science of Sex Differences;Leonard Sax;Parenting;English;37;79;322;755;656
24687;The Adventures of Tom Sawyer (The Adventures of Tom and Huck #1);Mark Twain;Classics;English;13057;36405;151596;231271;200375
24732;Don't Let's Go to the Dogs Tonight;Alexandra Fuller;Autobiography;English;651;2107;9329;17466;13762
24815;Riven Rock;T.C. Boyle;Fiction;English;41;200;801;905;440
24816;The Indispensable Calvin and Hobbes (Calvin and Hobbes);Bill Watterson;Sequential Art;English;19;65;686;3072;13772
24818;Homicidal Psycho Jungle Cat (Calvin and Hobbes #9);Bill Watterson;Sequential Art;English;14;57;717;2984;12529
24998;The Days Are Just Packed (Calvin and Hobbes #8);Bill Watterson;Sequential Art;English;114;151;958;3721;16092
25019;Mozart in the Jungle: Sex, Drugs, and Classical Music;Blair Tindall;Music;English;100;276;603;556;254
25051;The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary;Simon Winchester;History;English;2265;4707;19892;31374;22818
25052;Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle #1);Betty MacDonald;Unknown;English;953;1758;8450;14113;22276
25089;Mrs. Piggle-Wiggle's Magic (Mrs. Piggle Wiggle #2);Betty MacDonald;Childrens;English;268;479;2176;3664;6025
25645;Why Buildings Stand Up: The Strength of Architecture;Mario Salvadori;Architecture;English;13;22;156;224;193
25930;Smart Women Finish Rich: 9 Steps to Achieving Financial Security and Funding Your Dreams;David Bach;Economics;English;19;82;523;964;827
26023;Balzac And The Little Chinese Seamstress;Dai Sijie;Fiction;English;735;3815;15159;17974;8087
26506;Bright Lights, Big Ass: A Self-Indulgent, Surly, Ex-Sorority Girl's Guide to Why It Often Sucks in the City, or Who Are These Idiots and Why Do They All Live Next Door to Me?;Jen Lancaster;Womens Fiction;English;713;1325;5119;9309;11629
26899;Sisters;Danielle Steel;Romance;English;507;1171;3881;4973;4956
27003;Advanced Rails Recipes;Mike Clark;Computer Science;English;1;8;39;36;25
27457;The Eyre Affair (Thursday Next #1);Jasper Fforde;Fantasy;English;2523;6193;21312;36272;32751
27485;King Leopold's Ghost;Adam Hochschild;History;English;562;1023;4299;11089;12396
27523;Mating in Captivity: Reconciling the Erotic and the Domestic;Esther Perel;Nonfiction;English;86;283;1159;2545;2492
27539;Left Behind (Left Behind #1);Tim LaHaye;Christian;English;13311;13869;32840;45946;69360
27690;On Intelligence: How a New Understanding of the Brain Will Lead to the Creation of Truly Intelligent Machines;Jeff Hawkins;Science;English;49;169;818;1891;1939
28012;Touch Not the Cat;Mary  Stewart;Mystery;English;41;254;1413;2000;1518
28187;Authentic Happiness: Using the New Positive Psychology to Realize Your Potential for Lasting Fulfillment;Martin E.P. Seligman;Psychology;English;152;495;1778;2960;2814
28305;The Lightning Thief (Percy Jackson and the Olympians #1);Rick Riordan;Fantasy;English;20059;52021;236132;473197;759893
28381;The Human Comedy;William Saroyan;Fiction;English;75;200;802;1261;1430
28405;Dead Souls;Nikolai Gogol;Classics;English;850;2823;10826;18348;18292
28815;Time Regained (Ã€ la recherche du temps perdu #7);Marcel Proust;Fiction;English;60;84;351;831;2623
28862;Influence: The Psychology of Persuasion;Robert B. Cialdini;Business;English;968;2182;9118;19947;27625
28876;The Prince;NiccolÃ² Machiavelli;Classics;English;4505;15099;53680;68822;55431
28921;His Majesty's Dragon (Temeraire #1);Naomi Novik;Fantasy;English;750;2415;11012;23883;21254
29044;The Remains of the Day;Kazuo Ishiguro;Fiction;English;1869;5846;24430;55341;57397
29127;The Secret History;Donna Tartt;Fiction;English;4003;10740;35405;73606;86144
29209;The Last Unicorn (The Last Unicorn #1);Peter S. Beagle;Fantasy;English;1213;3291;14347;25676;39552
29544;The Color of Water: A Black Man's Tribute to His White Mother;James McBride;Nonfiction;English;1258;3303;16583;33906;33104
29579;Say Chic: A Collection of French Words We Can't Live Without;Francoise Choi;Unknown;English;1;0;2;2;1
29641;Foundation (Foundation (Publication Order) #1);Isaac Asimov;Science Fiction;English;7926;13183;50416;105197;145550
29744;The End of the Affair;Graham Greene;Classics;English;489;2034;8174;14667;12117
29933;Goodbye, Columbus and Five Short Stories;Philip Roth;Short Stories;English;149;674;3559;5797;3467
30003;Moth Smoke;Mohsin Hamid;Fiction;English;120;478;1942;3101;1835
30005;The Big Knockover: Selected Stories and Short Novels (The Continental Op Short Stories);Dashiell Hammett;Mystery;English;12;65;459;1163;1158
30043;Red Harvest (The Continental Op #1);Dashiell Hammett;Mystery;English;212;864;4273;7560;6353
30118;A River Runs Through It and Other Stories;Norman Maclean;Fiction;English;221;686;3074;6645;8349
30119;A Light in the Attic;Shel Silverstein;Poetry;English;4207;8384;41204;89532;181627
30132;Where the Sidewalk Ends;Shel Silverstein;Poetry;English;17448;31743;142607;301782;568693
30567;The Giving Tree;Shel Silverstein;Childrens;English;17099;22423;81292;178035;462943
30597;The Mottled Lizard (Elspeth Huxley's Childhood Memoirs #2);Elspeth Huxley;Cultural;English;4;14;65;133;89
30868;The Hunchback of Notre-Dame;Victor Hugo;Classics;English;2121;7259;32419;51070;50453
30919;The Bean Trees (Greer Family #1);Barbara Kingsolver;Fiction;English;1461;5187;26748;50055;35835
30933;Scoop;Evelyn Waugh;Fiction;English;230;870;3709;5647;4132
31122;Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder;Evelyn Waugh;Classics;English;1632;4381;16268;28845;29589
31138;I Capture the Castle;Dodie Smith;Fiction;English;994;3562;14350;26236;24598
31139;First Love;Adrienne Sharp;Fiction;English;10;28;67;54;36
31173;Open Water Diver Manual;Drew Richardson;Unknown;English;7;20;101;93;80
31196;Villette;Charlotte BrontÃ«;Classics;English;1512;4382;13757;16972;14393
31242;The Razor's Edge;W. Somerset Maugham;Fiction;English;237;960;4794;11451;12942
31244;Bleak House;Charles Dickens;Classics;English;2144;4800;15697;26857;31762
31314;Our Mutual Friend;Charles Dickens;Classics;English;495;1080;4091;7442;9190
31335;Barnyard Dance;Sandra Boynton;Unknown;English;314;718;3132;5280;10609
31491;Cry to Heaven;Anne Rice;Fiction;English;477;1503;4547;5745;5979
31646;The Rainbow (Brangwen Family #1);D.H. Lawrence;Classics;English;657;1515;4541;5575;4228
32071;James and the Giant Peach;Roald Dahl;Childrens;English;4752;14140;69313;110547;111254
32198;Sons and Lovers;D.H. Lawrence;Classics;English;1500;3985;12075;14151;8953
32275;The Secret of Skull Mountain (Hardy Boys #27);Franklin W. Dixon;Mystery;English;18;105;659;613;549
32280;River Out of Eden: A Darwinian View of Life;Richard Dawkins;Science;English;105;255;1291;2168;1927
32349;Jane Goodall: The Woman Who Redefined Man;Dale Peterson;Biography;English;11;18;113;264;311
32475;Mutant Message Down Under;Marlo Morgan;Fiction;English;720;1133;2791;4186;4359
32533;Dreaming in Code: Two Dozen Programmers, Three Years, 4,732 Bugs, and One Quest for Transcendent Software;Scott Rosenberg;Computer Science;English;76;183;745;890;576
32542;The Art of Fiction: Notes on Craft for Young Writers;John Gardner;Language;English;73;227;1049;1746;1732
32585;A Time to Kill (Jake Brigance #1);John Grisham;Fiction;English;12333;26387;125560;226910;241892
32606;Hunger;Knut Hamsun;Classics;English;415;1420;5368;11669;12338
32669;Stephen Hawking's Universe;David Filkin;Science;English;11;34;215;424;679
32682;Clear and Present Danger (Jack Ryan Universe #6);Tom Clancy;Fiction;English;990;3142;22039;46120;41119
32901;Patriot Games (Jack Ryan Universe #2);Tom Clancy;Fiction;English;1504;4193;29124;62516;60593
32923;Tess of the d'Urbervilles;Thomas Hardy;Classics;English;8779;17017;47064;69066;61908
32929;Charlotte's Web;E.B. White;Classics;English;20369;43855;202579;368039;530076
32946;Goodnight Moon (Over the Moon #2);Margaret Wise Brown;Unknown;English;5187;10678;38286;61566;146304
32994;The Outsiders;S.E. Hinton;Favorites;English;10747;35979;141228;241791;295174
33053;Maverick: The Success Story Behind the World's Most Unusual Workplace;Ricardo Semler;Business;English;52;114;434;982;1284
33375;The Cathedral & the Bazaar: Musings on Linux and Open Source by an Accidental Revolutionary;Eric S. Raymond;Nonfiction;English;88;189;751;1250;828
33507;The journey is the destination : the journals of Dan Eldon;Dan Eldon;Art;English;33;101;288;440;978
33514;Twenty Thousand Leagues Under the Sea (Extraordinary Voyages #6);Jules Verne;Classics;English;2466;9495;41184;58878;46613
33600;The Elements of Style (Elements of Composition Series);William Strunk Jr.;Language;English;922;2348;9521;19069;29005
33926;Shantaram (Shantaram #1);Gregory David Roberts;Fiction;English;2390;4711;14509;37046;63653
34040;The Girls' Guide to Hunting and Fishing;Melissa Bank;Womens Fiction;English;11408;17366;38855;33463;21919
34053;Once a Dancer: An Autobiography;Allegra Kent;Biography;English;5;14;48;120;97
34268;Just So Stories;Rudyard Kipling;Classics;English;468;1608;8039;13907;16466
34452;Peter Pan;J.M. Barrie;Classics;English;2954;9051;41903;70671;88690
34497;Many Lives, Many Masters: The True Story of a Prominent Psychiatrist, His Young Patient, and the Past Life Therapy That Changed Both Their Lives;Brian L. Weiss;Nonfiction;English;569;1192;4351;8697;13020
34975;The Color of Magic (Discworld #1);Terry Pratchett;Fantasy;English;4047;12445;54259;88129;87207
34993;The Greatest Salesman in the World (2001): 2001 Gift Edition;Og Mandino;Self Help;English;711;1769;6615;11768;20222
35220;The Sum of All Fears (Jack Ryan Universe #7);Tom Clancy;Fiction;English;318;1690;11288;19936;15604
35289;The Red Badge of Courage;Stephen Crane;Classics;English;6215;12873;27571;21099;10582
35339;The 33 Strategies of War;Robert Greene;Nonfiction;English;75;191;981;2342;3778
35706;A Princess Remembers: The Memoirs of the Maharani of Jaipur;Gayatri Devi;Nonfiction;English;11;40;187;365;240
35710;Margot Fonteyn: Autobiography;Margot Fonteyn;Nonfiction;English;1;3;42;50;30
35743;Margot Fonteyn;Meredith Daneman;Biography;English;0;10;45;106;88
37190;The Tin Drum (Die Danziger Trilogie #1);GÃ¼nter Grass;Fiction;English;1097;2235;6159;11149;12521
37272;The Tale of Despereaux;Kate DiCamillo;Fantasy;English;2110;6938;27741;45178;49712
37378;Balanchine: A Biography;Bernard Taper;Biography;English;0;1;6;37;30
37380;Saturday Night Hat: Quick, Easy Hatmaking for the Downtown Girl;Eugenia  Kim;Nonfiction;English;0;6;14;7;5
37415;The Heart Is a Lonely Hunter;Carson McCullers;Classics;English;1728;4819;15830;28487;28374
37553;Their Eyes Were Watching God;Zora Neale Hurston;Classics;English;5920;14789;47066;74170;68734
37609;Sense and Sensibility;Jane Austen;Classics;English;19221;36035;147579;284289;325989
37638;Monsoon (Courtney #10);Wilbur Smith;Historical;English;42;197;1247;3084;3797
37651;Evelina;Fanny Burney;Literature;English;462;1201;3612;4151;3081
37673;Holding On to the Air;Suzanne Farrell;Nonfiction;English;5;18;99;201;195
37684;The Call of the Wild;Jack London;Classics;English;6701;17508;66355;96492;78426
37732;The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1);Hiawyn Oram;Fantasy;English;41;170;747;1525;1993
37740;Are You There God? It's Me, Margaret;Judy Blume;Young Adult;English;3689;10275;41616;57071;55197
37741;Superfudge (Fudge #3);Judy Blume;Fiction;English;706;2398;13718;18963;19611
37834;Tales of a Fourth Grade Nothing (Fudge #1);Judy Blume;Childrens;English;2247;4469;23074;39492;50110
37909;Dancing for Balanchine;Merrill Ashley;Biography;English;0;2;9;19;7
37913;Go Jump in the Pool! (Macdonald Hall #2);Gordon Korman;Fiction;English;7;28;277;531;574
37914;Don't Care High;Gordon Korman;Young Adult;English;5;38;180;270;329
38262;Something Fishy at MacDonald Hall (Macdonald Hall #7);Gordon Korman;Humor;English;1;24;242;366;337
38290;Moll Flanders;Daniel Defoe;Classics;English;1432;4308;12221;11470;7145
38296;The Pioneers (The Leatherstocking Tales #4);James Fenimore Cooper;Classics;English;179;345;808;738;445
38300;The Last of the Mohicans (The Leatherstocking Tales #2);James Fenimore Cooper;Classics;English;3167;7252;20442;25147;21121
38302;A River Runs Through It;Norman Maclean;Fiction;English;77;242;856;1880;2494
38315;Empires of the Monsoon: A History of the Indian Ocean and Its Invaders;Richard Seymour Hall;History;English;0;1;8;22;40
38329;Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets (Incerto #1);Nassim Nicholas Taleb;Nonfiction;English;884;1793;6262;12778;13596
38486;Gosford Park: The Shooting Script;Julian Fellowes;Mystery;English;5;3;31;59;56
38524;Starring Sally J. Freedman as Herself;Judy Blume;Childrens;English;329;591;3092;4160;4392
38706;Spunk & Bite: A Writer's Guide to Punchier, More Engaging Language & Style;Arthur Plotnik;Language;English;21;43;179;304;267
38747;Sixth Grade Secrets;Louis Sachar;Childrens;English;59;158;661;885;1063
38752;Roughing It;Mark Twain;Biography;English;93;381;1736;2782;1974
38840;Death of a Salesman;Arthur Miller;Academic;English;7003;19983;48468;48638;30846
39000;Boyd: The Fighter Pilot Who Changed the Art of War;Robert Coram;Biography;English;17;63;316;824;1440
